# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jul 22 11:47:38 2023
#
# User ID:         asafka7a
#
# User preference: archive defaults*
#
# CONSTRAINT:  where (sy_snum = 1
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_agestr not null
# CONSTRAINT:  and sy_diststr < 50)
# CONSTRAINT:  order by pl_name desc
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,sy_snum,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2
HD 40307 d,1,0,0.132100,0.006600,-0.006600,0,0.77,0.05,-0.05,0,4.500,,,0,12.9363000,0.0047000,-0.0046000
HD 40307 c,1,0,0.079900,0.004000,-0.004000,0,0.77,0.05,-0.05,0,4.500,,,0,12.9363000,0.0047000,-0.0046000
HD 40307 b,1,0,0.046800,0.002400,-0.002300,0,0.77,0.05,-0.05,0,4.500,,,0,12.9363000,0.0047000,-0.0046000
HD 39194 d,1,0,0.185000,0.003300,-0.003300,0,0.67,0.04,-0.04,0,10.000,3.000,-3.000,0,26.4131000,0.0265000,-0.0265000
HD 39194 c,1,0,0.103000,0.002000,-0.002000,0,0.67,0.04,-0.04,0,10.000,3.000,-3.000,0,26.4131000,0.0265000,-0.0265000
HD 39194 b,1,0,0.056000,0.001000,-0.001000,0,0.67,0.04,-0.04,0,10.000,3.000,-3.000,0,26.4131000,0.0265000,-0.0265000
HD 39091 b,1,0,3.311000,0.134000,-0.148000,0,1.10,0.14,-0.14,0,3.920,1.030,-0.980,0,18.2702000,0.0226000,-0.0226000
HD 38283 b,1,0,1.020000,0.020000,-0.020000,0,1.37,0.07,-0.07,0,6.200,0.500,-0.500,0,38.0615000,0.0366000,-0.0365000
HD 3765 b,1,0,2.108000,0.032000,-0.033000,0,0.85,0.03,-0.03,0,2.000,,,0,17.9260000,0.0325000,-0.0324000
HD 37605 c,1,0,3.740000,0.210000,-0.210000,0,0.94,0.15,-0.15,0,5.650,3.420,-3.420,0,46.7864000,0.1143000,-0.1137000
HD 37605 b,1,0,0.277000,0.015000,-0.015000,0,0.94,0.15,-0.15,0,5.650,3.420,-3.420,0,46.7864000,0.1143000,-0.1137000
HD 37124 d,1,0,2.807000,0.038000,-0.038000,0,0.85,,,0,4.000,2.000,-2.000,0,31.6634000,0.0760000,-0.0757000
HD 37124 c,1,0,1.710000,0.006500,-0.006500,0,0.85,,,0,4.000,2.000,-2.000,0,31.6634000,0.0760000,-0.0757000
HD 37124 b,1,0,0.533640,0.000200,-0.000200,0,0.85,,,0,4.000,2.000,-2.000,0,31.6634000,0.0760000,-0.0757000
HD 3651 b,1,0,0.295000,0.029000,-0.029000,0,0.80,,,0,3.000,7.000,-3.000,0,11.1336000,0.0073000,-0.0072000
HD 34445 g,1,0,6.360000,1.020000,-1.020000,0,1.07,0.02,-0.02,0,8.500,2.000,-2.000,0,46.0907000,0.0996000,-0.0991000
HD 34445 f,1,0,1.543000,0.016000,-0.016000,0,1.07,0.02,-0.02,0,8.500,2.000,-2.000,0,46.0907000,0.0996000,-0.0991000
HD 34445 e,1,0,0.268700,0.001900,-0.001900,0,1.07,0.02,-0.02,0,8.500,2.000,-2.000,0,46.0907000,0.0996000,-0.0991000
HD 34445 d,1,0,0.481700,0.003300,-0.003300,0,1.07,0.02,-0.02,0,8.500,2.000,-2.000,0,46.0907000,0.0996000,-0.0991000
HD 34445 c,1,0,0.718100,0.004900,-0.004900,0,1.07,0.02,-0.02,0,8.500,2.000,-2.000,0,46.0907000,0.0996000,-0.0991000
HD 34445 b,1,0,2.070000,0.040000,-0.040000,0,1.14,0.09,-0.09,0,8.500,2.000,-2.000,0,46.0907000,0.0996000,-0.0991000
HD 33564 b,1,0,1.100000,,,0,1.25,0.03,-0.04,0,3.000,0.600,-0.300,0,20.9531000,0.0746000,-0.0740000
HD 330075 b,1,0,0.040000,0.000000,0.000000,0,0.47,0.04,-0.04,0,6.200,,,0,45.2989000,0.0918000,-0.0913000
HD 32963 b,1,0,3.410000,0.020000,-0.020000,0,0.94,,,0,4.990,6.710,-3.550,0,38.0786000,0.1009000,-0.1003000
HD 3167 e,1,0,0.388500,0.007900,-0.007900,0,0.84,0.05,-0.04,0,7.800,4.300,-4.300,0,47.2899000,0.1485000,-0.1475000
HD 3167 d,1,0,0.076300,0.001500,-0.001500,0,0.84,0.05,-0.04,0,7.800,4.300,-4.300,0,47.2899000,0.1485000,-0.1475000
HD 3167 c,1,0,0.177600,0.003700,-0.003100,0,0.84,0.05,-0.04,0,7.800,4.300,-4.300,0,47.2899000,0.1485000,-0.1475000
HD 3167 b,1,0,0.017960,0.000370,-0.000310,0,0.84,0.05,-0.04,0,7.800,4.300,-4.300,0,47.2899000,0.1485000,-0.1475000
HD 30562 b,1,0,2.340000,0.060000,-0.060000,0,1.12,0.07,-0.07,0,3.600,0.500,-0.500,0,26.1597000,0.0564000,-0.0563000
HD 29399 b,1,0,1.913000,0.008000,-0.008000,0,1.17,0.10,-0.10,0,6.200,0.500,-0.500,0,44.1518000,0.1069000,-0.1069000
HD 29021 b,1,0,2.280000,0.070000,-0.080000,0,0.85,0.08,-0.08,0,7.400,3.100,-3.100,0,30.9939000,0.0422000,-0.0421000
HD 285968 b,1,0,0.066000,,,0,0.50,,,0,3.620,,,0,9.4704500,0.0063250,-0.0063250
HD 285507 b,1,0,0.060000,0.000000,0.000000,0,0.82,0.12,-0.12,0,0.625,0.050,-0.050,0,45.0293000,0.2440000,-0.2414000
HD 28185 c,1,0,13.176000,0.518000,-0.689000,0,0.99,0.13,-0.13,0,2.500,2.500,-2.500,0,39.3809000,0.0637000,-0.0636000
HD 28185 b,1,0,1.035000,0.042000,-0.046000,0,0.99,0.13,-0.13,0,7.500,,,0,39.3809000,0.0637000,-0.0636000
HD 27894 d,1,0,5.362000,0.206000,-0.223000,0,0.81,0.10,-0.10,0,13.000,1.000,-1.000,-1,43.8214000,0.0593000,-0.0591000
HD 27894 c,1,0,0.198000,0.001000,-0.001000,0,0.80,,,0,13.000,1.000,-1.000,-1,43.8214000,0.0593000,-0.0591000
HD 27894 b,1,0,0.125000,0.005000,-0.005000,0,0.81,0.10,-0.10,0,3.900,,,0,43.8214000,0.0593000,-0.0591000
HD 260655 c,1,0,0.047490,0.000390,-0.000390,0,0.44,0.01,-0.01,0,5.000,3.000,-3.000,0,10.0055000,0.0050500,-0.0050500
HD 260655 b,1,0,0.029330,0.000240,-0.000240,0,0.44,0.01,-0.01,0,5.000,3.000,-3.000,0,10.0055000,0.0050500,-0.0050500
HD 25015 b,1,0,6.248000,0.486000,-0.439000,0,0.86,0.10,-0.10,0,4.000,3.410,-3.410,0,37.4330000,0.0689000,-0.0687000
HD 24040 c,1,0,1.300000,0.021000,-0.022000,0,1.10,0.05,-0.05,0,6.680,1.000,-1.520,0,46.6224000,0.1362000,-0.1355000
HD 24040 b,1,0,4.920000,0.210000,-0.210000,0,1.11,0.12,-0.12,0,6.680,1.000,-1.520,0,46.6224000,0.1362000,-0.1355000
HD 23079 b,1,0,1.600000,0.030000,-0.030000,0,1.12,0.06,-0.06,0,2.000,3.000,-2.000,0,33.4591000,0.0349000,-0.0348000
HD 22781 b,1,0,1.167000,0.039000,-0.039000,0,0.75,0.03,-0.03,0,4.800,4.100,-4.200,0,32.6034000,0.1151000,-0.1143000
HD 221420 b,1,0,8.398000,0.414000,-0.379000,0,1.06,0.13,-0.13,0,3.650,0.230,-0.230,0,31.1415000,0.0376000,-0.0376000
HD 220689 b,1,0,3.396000,0.084000,-0.081000,0,1.02,0.05,-0.05,0,4.586,2.487,-2.487,0,46.8778000,0.1048000,-0.1044000
HD 219134 h,1,0,3.110000,0.040000,-0.040000,0,0.79,0.04,-0.02,0,12.460,,,0,6.5312700,0.0038400,-0.0038500
HD 219134 g,1,0,0.375300,0.000400,-0.000400,0,0.79,0.04,-0.02,0,12.460,,,0,6.5312700,0.0038400,-0.0038500
HD 219134 d,1,0,0.237000,0.003000,-0.003000,0,0.81,0.03,-0.03,0,11.000,2.200,-2.200,0,6.5312700,0.0038400,-0.0038500
HD 219134 c,1,0,0.065300,0.000800,-0.000800,0,0.81,0.03,-0.03,0,11.000,2.200,-2.200,0,6.5312700,0.0038400,-0.0038500
HD 219134 b,1,0,0.038760,0.000470,-0.000470,0,0.81,0.03,-0.03,0,11.000,2.200,-2.200,0,6.5312700,0.0038400,-0.0038500
HD 219077 b,1,0,5.935000,0.249000,-0.265000,0,0.92,0.12,-0.12,0,8.900,0.300,-0.300,0,29.1864000,0.0372000,-0.0372000
HD 218566 b,1,0,0.690000,0.010000,-0.010000,0,0.76,0.32,-0.32,0,8.500,,,0,28.8274000,0.0429000,-0.0427000
HD 21749 c,1,0,0.069500,0.002100,-0.002300,0,0.73,0.07,-0.07,0,3.800,3.700,-3.700,0,16.3200000,0.0071000,-0.0071000
HD 217107 c,1,0,5.320000,0.380000,-0.380000,0,0.98,0.15,-0.10,0,5.840,1.920,-2.440,0,20.0619000,0.0232000,-0.0233000
HD 217107 b,1,0,0.080000,0.000000,0.000000,0,1.00,0.05,-0.05,0,5.840,1.920,-2.440,0,20.0619000,0.0232000,-0.0233000
HD 216770 b,1,0,0.460000,0.010000,-0.010000,0,0.74,0.07,-0.07,0,3.100,,,0,36.6625000,0.0984000,-0.0979000
HD 216520 c,1,0,0.528000,0.010000,-0.010000,0,0.82,0.04,-0.04,0,6.000,3.000,-3.000,0,19.5520000,0.0113000,-0.0113000
HD 216520 b,1,0,0.198000,0.000400,-0.000400,0,0.82,0.04,-0.04,0,6.000,3.000,-3.000,0,19.5520000,0.0113000,-0.0113000
HD 216437 b,1,0,2.497000,0.036000,-0.037000,0,1.17,0.05,-0.05,0,4.750,1.059,-1.059,0,26.6902000,0.0322000,-0.0321000
HD 216435 b,1,0,2.560000,0.170000,-0.170000,0,1.30,,,0,3.000,,,-1,32.9834000,0.0848000,-0.0843000
HD 215497 c,1,0,1.282000,,,0,0.87,0.02,-0.02,0,7.000,,,1,40.5468000,0.0537000,-0.0535000
HD 215497 b,1,0,0.050000,0.000000,0.000000,0,0.67,0.33,-0.33,0,7.000,,,1,40.5468000,0.0537000,-0.0535000
HD 213885 c,1,0,0.056798,0.000440,-0.000320,0,1.07,0.02,-0.02,0,3.800,0.660,-0.790,0,48.0883000,0.0991000,-0.0987000
HD 213885 b,1,0,0.020120,0.000150,-0.000120,0,1.07,0.02,-0.02,0,3.800,0.660,-0.790,0,48.0883000,0.0991000,-0.0987000
HD 210277 b,1,0,1.130000,0.020000,-0.020000,0,1.01,0.05,-0.05,0,12.000,2.000,-2.000,0,21.2985000,0.0220000,-0.0220000
HD 209458 b,1,0,0.047070,0.000450,-0.000470,0,1.23,0.09,-0.09,0,3.100,0.800,-0.700,0,48.3016000,0.1240000,-0.1234000
HD 20868 b,1,0,0.950000,0.020000,-0.020000,0,0.39,0.27,-0.27,0,4.500,0.400,-0.400,0,47.7223000,0.0699000,-0.0697000
HD 208487 b,1,0,0.524000,0.030000,-0.030000,0,1.13,,,0,8.150,1.850,-1.850,0,45.1470000,0.1593000,-0.1582000
HD 20794 e,1,0,0.509000,0.006000,-0.006000,0,0.81,0.02,-0.01,0,5.760,0.660,-0.660,0,6.0027800,0.0085400,-0.0085100
HD 20794 d,1,0,0.349900,0.005900,-0.005900,0,0.70,,,0,5.760,0.660,-0.660,0,6.0027800,0.0085400,-0.0085100
HD 20794 c,1,0,0.203600,0.003400,-0.003400,0,0.70,,,0,5.760,0.660,-0.660,0,6.0027800,0.0085400,-0.0085100
HD 20794 b,1,0,0.120700,0.002000,-0.002000,0,0.70,,,0,5.760,0.660,-0.660,0,6.0027800,0.0085400,-0.0085100
HD 207897 b,1,0,0.116300,0.001700,-0.001500,0,0.80,0.04,-0.03,0,7.100,4.500,-4.500,0,28.2938000,0.0312000,-0.0312000
HD 207496 b,1,0,0.062900,0.001100,-0.001100,0,0.80,0.04,-0.04,0,0.520,0.260,-0.260,0,23.6060000,0.0179000,-0.0179000
HD 206893 c,1,0,3.530000,0.080000,-0.060000,0,1.32,0.07,-0.05,0,0.155,0.015,-0.015,0,40.7583000,0.1072000,-0.1066000
HD 206893 b,1,0,9.600000,0.400000,-0.300000,0,1.32,0.07,-0.05,0,0.155,0.015,-0.015,0,40.7583000,0.1072000,-0.1066000
HD 204313 e,1,0,7.457000,0.399000,-0.427000,0,1.03,0.13,-0.13,0,3.380,2.580,-2.580,0,47.7945000,0.1455000,-0.1446000
HD 204313 c,1,0,0.211000,0.009000,-0.010000,0,1.03,0.13,-0.13,0,3.380,2.580,-2.580,0,47.7945000,0.1455000,-0.1446000
HD 204313 b,1,0,3.185000,0.130000,-0.143000,0,1.03,0.13,-0.13,0,3.380,2.580,-2.580,0,47.7945000,0.1455000,-0.1446000
HD 203030 b,1,0,487.100000,1.800000,-1.800000,0,0.94,0.13,-0.12,0,0.100,0.050,-0.070,0,39.2503000,0.0949000,-0.0944000
HD 199509 b,1,0,0.426000,0.018000,-0.019000,0,1.04,0.14,-0.14,0,1.600,,,0,24.3056000,0.0204000,-0.0204000
HD 192310 c,1,0,1.180000,0.025000,-0.025000,0,0.80,,,0,7.810,0.900,-0.900,0,8.7968700,0.0092500,-0.0092400
HD 192310 b,1,0,0.320000,0.005000,-0.005000,0,0.80,,,0,7.810,0.900,-0.900,0,8.7968700,0.0092500,-0.0092400
HD 192263 b,1,0,0.150000,0.000000,0.000000,0,0.66,0.08,-0.08,0,2.090,2.540,-2.540,0,19.6359000,0.0218000,-0.0217000
HD 190007 b,1,0,0.092000,0.000800,-0.000800,0,0.77,0.02,-0.02,0,1.000,,,-1,12.7141000,0.0101000,-0.0100000
HD 189567 c,1,0,0.197000,0.003000,-0.003000,0,0.83,0.01,-0.01,0,11.000,0.500,-0.500,0,17.9055000,0.0124000,-0.0123000
HD 189567 b,1,0,0.111000,0.002000,-0.002000,0,0.83,0.01,-0.01,0,11.000,0.500,-0.500,0,17.9055000,0.0124000,-0.0123000
HD 187123 c,1,0,4.890000,0.530000,-0.530000,0,1.04,0.11,-0.16,0,7.400,1.240,-1.160,0,45.9548000,0.0716000,-0.0714000
HD 187123 b,1,0,0.042600,0.002500,-0.002500,0,1.04,0.11,-0.16,0,7.400,1.240,-1.160,0,45.9548000,0.0716000,-0.0714000
HD 187085 b,1,0,2.100000,0.032000,-0.032000,0,1.19,0.02,-0.02,0,2.747,0.838,-0.838,0,45.8993000,0.0938000,-0.0935000
HD 181433 d,1,0,3.000000,,,0,0.78,,,0,6.700,1.800,-1.800,0,26.8762000,0.0225000,-0.0225000
HD 181433 c,1,0,1.760000,,,0,0.78,,,0,6.700,1.800,-1.800,0,26.8762000,0.0225000,-0.0225000
HD 181433 b,1,0,0.080000,0.000000,0.000000,0,0.63,0.07,-0.07,0,6.700,1.800,-1.800,0,26.8762000,0.0225000,-0.0225000
HD 18143 c,1,0,17.530000,6.587000,-3.447000,0,0.85,0.10,-0.10,0,9.400,,,0,22.5243000,0.0230000,-0.0230000
HD 18143 b,1,0,0.088000,0.003000,-0.004000,0,0.85,0.10,-0.10,0,9.400,,,0,22.5243000,0.0230000,-0.0230000
HD 181234 b,1,0,7.427000,0.304000,-0.340000,0,0.94,0.12,-0.12,0,6.320,2.580,-2.580,0,47.7458000,0.1298000,-0.1290000
HD 179949 b,1,0,0.044300,0.002600,-0.002600,0,1.21,,,0,1.000,0.000,-1.000,1,27.4573000,0.0578000,-0.0577000
HD 177565 b,1,0,0.246000,0.019000,-0.019000,0,1.00,0.10,-0.10,0,6.880,3.360,-3.800,0,16.9179000,0.0192000,-0.0192000
HD 176986 c,1,0,0.118780,0.000250,-0.000250,0,0.79,0.02,-0.02,0,4.300,4.000,-4.000,0,27.7843000,0.0483000,-0.0481000
HD 176986 b,1,0,0.062960,0.000130,-0.000130,0,0.79,0.02,-0.02,0,4.300,4.000,-4.000,0,27.7843000,0.0483000,-0.0481000
HD 17674 b,1,0,1.420000,0.040000,-0.050000,0,0.98,0.10,-0.10,0,8.400,0.600,-0.600,0,44.4264000,0.0861000,-0.0859000
HD 171238 b,1,0,2.570000,0.160000,-0.160000,0,0.96,0.17,-0.17,0,7.560,2.960,-2.960,0,44.8113000,0.1117000,-0.1112000
HD 169830 c,1,0,3.075000,0.132000,-0.146000,0,1.17,0.16,-0.16,0,2.800,,,0,37.6048000,0.1484000,-0.1473000
HD 169830 b,1,0,0.765000,0.033000,-0.036000,0,1.17,0.16,-0.16,0,2.800,,,0,37.6048000,0.1484000,-0.1473000
HD 168746 b,1,0,0.070000,0.000000,0.000000,0,1.07,0.06,-0.06,0,8.000,3.000,-4.000,0,41.5681000,0.1000000,-0.0995000
HD 168443 c,1,0,2.842000,0.110000,-0.120000,0,0.98,0.12,-0.12,0,11.080,0.720,-0.640,0,39.6245000,0.1224000,-0.1217000
HD 168443 b,1,0,0.292000,0.011000,-0.012000,0,0.98,0.12,-0.12,0,11.080,0.720,-0.640,0,39.6245000,0.1224000,-0.1217000
HD 168009 b,1,0,0.119200,0.001700,-0.001800,0,0.99,0.04,-0.04,0,9.680,1.320,-1.280,0,23.3032000,0.0118000,-0.0118000
HD 167042 b,1,0,1.320000,0.030000,-0.040000,0,1.72,0.12,-0.12,0,2.200,1.000,-1.000,0,49.6633000,0.1348000,-0.1348000
HD 166724 b,1,0,5.420000,0.430000,-0.430000,0,0.81,0.02,-0.02,0,4.000,3.800,-3.800,0,45.1342000,0.0903000,-0.0899000
HD 164922 e,1,0,0.229200,0.002600,-0.002700,0,0.92,0.03,-0.03,0,9.580,1.990,-1.550,0,22.0016000,0.0152000,-0.0151000
HD 164922 d,1,0,0.103000,0.001000,-0.001000,0,0.93,0.03,-0.04,0,9.580,1.990,-1.550,0,22.0016000,0.0152000,-0.0151000
HD 164922 c,1,0,0.341000,0.004000,-0.004000,0,0.93,0.03,-0.04,0,9.580,1.990,-1.550,0,22.0016000,0.0152000,-0.0151000
HD 164922 b,1,0,2.160000,0.030000,-0.030000,0,0.93,0.03,-0.04,0,9.580,1.990,-1.550,0,22.0016000,0.0152000,-0.0151000
HD 162020 b,1,0,0.080000,0.000000,0.000000,0,0.42,0.18,-0.18,0,6.000,18.000,-18.000,0,30.8248000,0.0715000,-0.0712000
HD 160691 e,1,0,0.934000,,,0,1.13,0.02,-0.02,0,5.700,0.600,-0.600,0,15.5981000,0.0296000,-0.0294000
HD 160691 d,1,0,0.092860,,,0,1.13,0.02,-0.02,0,5.700,0.600,-0.600,0,15.5981000,0.0296000,-0.0294000
HD 160691 c,1,0,4.170000,0.070000,-0.070000,0,1.13,0.02,-0.02,0,5.700,0.600,-0.600,0,15.5981000,0.0296000,-0.0294000
HD 160691 b,1,0,1.500000,0.020000,-0.020000,0,1.13,0.02,-0.02,0,5.700,0.600,-0.600,0,15.5981000,0.0296000,-0.0294000
HD 156668 c,1,0,1.570000,0.017000,-0.017000,0,0.79,0.02,-0.02,0,8.600,4.800,-4.800,0,24.3323000,0.0165000,-0.0166000
HD 156668 b,1,0,0.050000,0.000700,-0.000700,0,0.77,0.02,-0.02,0,8.600,4.800,-4.800,0,24.3323000,0.0165000,-0.0166000
HD 156279 c,1,0,5.486000,0.219000,-0.240000,0,0.94,0.12,-0.12,0,4.100,3.600,-3.700,0,36.1945000,0.0361000,-0.0359000
HD 156279 b,1,0,0.502000,0.020000,-0.022000,0,0.94,0.12,-0.12,0,4.100,3.600,-3.700,0,36.1945000,0.0361000,-0.0359000
HD 155918 c,1,0,13.183000,1.170000,-1.179000,0,1.03,0.13,-0.13,0,12.300,,,0,27.5610000,0.0227000,-0.0226000
HD 155918 b,1,0,0.030000,0.001000,-0.001000,0,1.03,0.13,-0.13,0,12.300,,,0,27.5610000,0.0227000,-0.0226000
HD 155358 c,1,0,1.020000,0.020000,-0.020000,0,0.92,,,0,10.700,,,0,43.6197000,0.0472000,-0.0472000
HD 155358 b,1,0,0.630000,0.020000,-0.020000,0,1.15,0.08,-0.08,0,10.700,,,0,43.6197000,0.0472000,-0.0472000
HD 154345 b,1,0,4.210000,0.100000,-0.100000,0,0.71,0.07,-0.07,0,9.527,1.662,-1.662,0,18.2840000,0.0072000,-0.0071000
HD 154088 b,1,0,0.134000,0.002000,-0.002000,0,0.91,0.02,-0.02,0,8.000,2.000,-2.000,0,18.2692000,0.0158000,-0.0157000
HD 153950 b,1,0,1.280000,0.020000,-0.020000,0,1.25,0.18,-0.18,0,4.300,1.000,-1.000,0,48.4549000,0.1168000,-0.1163000
HD 15337 c,1,0,0.126800,0.003800,-0.003800,0,0.90,0.03,-0.03,0,5.100,0.800,-0.800,0,44.8155000,0.0707000,-0.0704000
HD 15337 b,1,0,0.052200,0.001200,-0.001200,0,0.90,0.03,-0.03,0,5.100,0.800,-0.800,0,44.8155000,0.0707000,-0.0704000
HD 150706 b,1,0,6.700000,4.000000,-1.400000,0,1.17,0.12,-0.12,0,3.000,2.000,-2.000,0,28.2697000,0.0229000,-0.0228000
HD 149806 b,1,0,12.404000,3.103000,-2.056000,0,0.93,0.12,-0.12,0,8.360,5.120,-5.680,0,20.2727000,0.0179000,-0.0179000
HD 147018 c,1,0,1.922000,0.039000,-0.039000,0,0.93,0.03,-0.03,0,6.360,4.330,-4.330,0,40.4256000,0.0716000,-0.0713000
HD 147018 b,1,0,0.238800,0.003900,-0.003900,0,0.93,0.03,-0.03,0,6.360,4.330,-4.330,0,40.4256000,0.0716000,-0.0713000
HD 1461 c,1,0,0.111700,0.003900,-0.003900,0,1.02,,,0,7.120,1.400,-1.560,0,23.4534000,0.0309000,-0.0309000
HD 1461 b,1,0,0.063400,0.002200,-0.002200,0,1.02,,,0,7.120,1.400,-1.560,0,23.4534000,0.0309000,-0.0309000
HD 145675 c,1,0,11.924000,1.296000,-1.153000,0,0.91,0.11,-0.11,0,5.240,,,0,17.9323000,0.0073000,-0.0073000
HD 142415 b,1,0,1.060000,0.020000,-0.020000,0,1.07,0.10,-0.10,0,1.100,,,0,35.5318000,0.0418000,-0.0417000
HD 141937 b,1,0,1.500000,0.030000,-0.030000,0,1.09,0.05,-0.05,0,2.320,0.410,-0.410,0,33.3622000,0.0719000,-0.0717000
HD 141004 b,1,0,0.123800,0.002000,-0.002000,0,1.05,0.05,-0.05,0,6.320,0.880,-1.560,0,11.8148000,0.0361000,-0.0359000
HD 140901 c,1,0,7.421000,0.322000,-0.580000,0,0.99,0.12,-0.12,0,4.160,3.000,-3.200,0,15.2528000,0.0112000,-0.0112000
HD 140901 b,1,0,0.085000,0.003000,-0.004000,0,0.99,0.12,-0.12,0,4.160,3.000,-3.200,0,15.2528000,0.0112000,-0.0112000
HD 13931 b,1,0,5.150000,0.330000,-0.330000,0,1.30,0.13,-0.13,0,8.400,2.000,-2.000,0,47.3963000,0.1446000,-0.1438000
HD 13808 c,1,0,0.255400,0.002800,-0.002300,0,0.77,0.02,-0.02,0,7.200,4.800,-4.800,0,28.2305000,0.0257000,-0.0258000
HD 13808 b,1,0,0.105190,0.000930,-0.001100,0,0.77,0.02,-0.02,0,7.200,4.800,-4.800,0,28.2305000,0.0257000,-0.0258000
HD 137388 b,1,0,0.890000,0.020000,-0.020000,0,0.68,0.05,-0.05,0,6.450,0.740,-0.740,0,40.4841000,0.0540000,-0.0540000
HD 136352 d,1,0,0.425000,0.012000,-0.012000,0,0.87,0.04,-0.04,0,12.300,1.200,-2.900,0,14.6820000,0.0199000,-0.0198000
HD 136352 c,1,0,0.172100,0.005000,-0.005000,0,0.87,0.04,-0.04,0,12.300,1.200,-2.900,0,14.6820000,0.0199000,-0.0198000
HD 136352 b,1,0,0.096400,0.002800,-0.002800,0,0.87,0.04,-0.04,0,12.300,1.200,-2.900,0,14.6820000,0.0199000,-0.0198000
HD 134987 c,1,0,5.800000,0.500000,-0.500000,0,1.10,0.07,-0.04,0,8.400,1.600,-1.400,0,26.1804000,0.0516000,-0.0515000
HD 134987 b,1,0,0.810000,0.020000,-0.020000,0,1.10,0.07,-0.07,0,8.400,1.600,-1.400,0,26.1804000,0.0516000,-0.0515000
HD 134060 c,1,0,2.392800,0.092900,-0.095100,0,1.09,,,0,5.600,1.280,-1.320,0,24.0125000,0.0204000,-0.0203000
HD 134060 b,1,0,0.044400,0.001300,-0.001400,0,1.09,,,0,5.600,1.280,-1.320,0,24.0125000,0.0204000,-0.0203000
HD 130322 b,1,0,0.092500,,,0,0.92,0.03,-0.03,0,0.350,,,0,31.8766000,0.0729000,-0.0727000
HD 128356 b,1,0,0.870000,0.030000,-0.030000,0,0.65,0.05,-0.05,0,10.000,5.000,-5.000,0,26.1548000,0.0446000,-0.0445000
HD 128311 c,1,0,1.740000,0.010000,-0.010000,0,0.83,0.01,-0.01,0,0.960,,,1,16.3292000,0.0199000,-0.0198000
HD 128311 b,1,0,1.084000,0.006000,-0.006000,0,0.83,0.01,-0.01,0,0.960,,,1,16.3292000,0.0199000,-0.0198000
HD 12661 c,1,0,2.814500,0.023800,-0.023800,0,1.02,0.02,-0.02,0,6.390,1.940,-1.940,0,37.8478000,0.0633000,-0.0630000
HD 12661 b,1,0,0.840000,0.020000,-0.020000,0,1.20,0.10,-0.10,0,6.390,1.940,-1.940,0,37.8478000,0.0633000,-0.0630000
HD 126525 b,1,0,1.837000,0.010000,-0.010000,0,0.90,0.01,-0.01,0,9.670,1.333,-1.333,0,37.6506000,0.0665000,-0.0663000
HD 125595 b,1,0,0.080000,0.000000,0.000000,0,0.29,0.25,-0.25,0,3.530,3.590,-3.590,0,28.1989000,0.0611000,-0.0609000
HD 121504 b,1,0,0.330000,0.010000,-0.010000,0,1.62,0.21,-0.21,0,1.200,,,0,41.6592000,0.0690000,-0.0687000
HD 117618 b,1,0,0.180000,0.005000,-0.005000,0,1.08,,,0,5.600,0.700,-0.800,0,37.7781000,0.0924000,-0.0919000
HD 117207 b,1,0,3.787000,0.034000,-0.035000,0,1.05,0.03,-0.03,0,4.192,2.274,-2.274,0,32.3547000,0.0524000,-0.0522000
HD 114783 c,1,0,4.970000,0.120000,-0.110000,0,0.85,0.03,-0.04,0,7.000,7.000,-7.000,0,21.0628000,0.0285000,-0.0284000
HD 114783 b,1,0,1.160000,0.019000,-0.019000,0,0.85,0.03,-0.03,0,7.000,7.000,-7.000,0,21.0628000,0.0285000,-0.0284000
HD 114613 b,1,0,5.340000,0.260000,-0.260000,0,1.27,,,0,4.550,0.170,-0.170,0,20.2836000,0.0914000,-0.0906000
