# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug  8 06:11:11 2023
#
# User ID:         asafka7a
#
# User preference: first*
#
# CONSTRAINT:  where (pl_controv_flag = 0
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radjstr not null
# CONSTRAINT:  and pl_bmassjstr not null
# CONSTRAINT:  and pl_densstr not null
# CONSTRAINT:  and st_agestr not null
# CONSTRAINT:  and sy_diststr < 100)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2
HD 63433 b,0,7.10793000,0.00040000,-0.00034000,0,0.071900,0.003100,-0.004400,0,0.192,0.009,-0.009,0,0.01660,,,0,M-R relationship,2.910000,,,0,0.000000,,,0,G5IV,0.99,0.03,-0.03,0,0.414,0.023,-0.023,0,22.4035000,0.0225000,-0.0225000
HD 63433 c,0,20.54530000,0.00120000,-0.00130000,0,0.145800,0.006200,-0.010100,0,0.238,0.011,-0.011,0,0.02390,,,0,M-R relationship,2.200000,,,0,0.000000,,,0,G5IV,0.99,0.03,-0.03,0,0.414,0.023,-0.023,0,22.4035000,0.0225000,-0.0225000
HD 19994 b,0,466.20000000,1.70000000,-1.70000000,0,1.305000,0.016000,-0.016000,0,1.210,,,0,1.37000,0.12000,-0.12000,0,Msini,0.951000,,,0,0.063000,0.062000,-0.062000,0,F8 V,1.36,0.04,-0.04,0,2.400,,,0,22.5242000,0.1042000,-0.1033000
HD 18143 b,0,10.28510000,0.00213000,-0.00263000,0,0.088000,0.003000,-0.004000,0,0.293,,,0,0.03400,0.00500,-0.00700,0,Msini,1.680000,,,0,0.224000,0.171000,-0.122000,0,K2,0.85,0.10,-0.10,0,9.400,,,0,22.5243000,0.0230000,-0.0230000
HD 18143 c,0,28982.41764000,18264.56731000,-7978.16709000,0,17.530000,6.587000,-3.447000,0,1.110,,,0,9.99800,1.96100,-1.87100,0,Mass,8.940000,,,0,0.194000,0.021000,-0.097000,0,K2,0.85,0.10,-0.10,0,9.400,,,0,22.5243000,0.0230000,-0.0230000
psi1 Dra B b,0,3117.00000000,42.00000000,-42.00000000,0,4.430000,0.040000,-0.040000,0,1.210,,,0,1.53000,0.10000,-0.10000,0,Msini,1.090000,,,0,0.400000,0.050000,-0.050000,0,G0 V,1.19,0.07,-0.07,0,3.300,1.000,-1.000,0,22.7188000,0.0258000,-0.0258000
HD 168009 b,0,15.14790000,0.00350000,-0.00370000,0,0.119200,0.001700,-0.001800,0,0.272,,,0,0.03000,0.00380,-0.00370,0,Msini,1.850000,,,0,0.120000,0.110000,-0.082000,0,G2V,0.99,0.04,-0.04,0,9.680,1.320,-1.280,0,23.3032000,0.0118000,-0.0118000
HD 1461 b,0,5.77152000,0.00045000,-0.00045000,0,0.063400,0.002200,-0.002200,0,0.216,,,0,0.02026,0.00192,-0.00192,0,Msini,2.500000,,,0,0.172000,,,1,G0 V,1.02,,,0,7.120,1.400,-1.560,0,23.4534000,0.0309000,-0.0309000
HD 1461 c,0,13.50520000,0.00290000,-0.00290000,0,0.111700,0.003900,-0.003900,0,0.199,,,0,0.01759,0.00230,-0.00230,0,Msini,2.770000,,,0,0.305000,,,1,G0 V,1.02,,,0,7.120,1.400,-1.560,0,23.4534000,0.0309000,-0.0309000
HD 207496 b,0,6.44100800,0.00001100,-0.00001100,0,0.062900,0.001100,-0.001100,0,0.201,0.011,-0.009,0,0.01919,0.00503,-0.00503,0,Mass,3.170000,0.970000,-0.910000,0,0.231000,0.042000,-0.049000,0,K2.5 V,0.80,0.04,-0.04,0,0.520,0.260,-0.260,0,23.6060000,0.0179000,-0.0179000
BD-210397 b,0,1891.00000000,56.00000000,-48.00000000,0,2.630000,0.060000,-0.050000,0,1.250,,,0,0.70000,0.10000,-0.10000,0,Msini,0.429000,,,0,0.100000,0.100000,-0.100000,0,K7 V,0.68,0.02,-0.02,0,6.200,4.700,-4.700,0,23.7324000,0.0228000,-0.0227000
BD-210397 c,0,6360.00000000,6260.00000000,-711.00000000,0,5.900000,3.400000,-0.500000,0,1.180,,,0,2.40000,1.50000,-0.20000,0,Msini,1.770000,,,0,0.100000,0.200000,-0.100000,0,K7 V,0.68,0.02,-0.02,0,6.200,4.700,-4.700,0,23.7324000,0.0228000,-0.0227000
HD 134060 b,0,3.26960000,0.00010000,-0.00010000,0,0.044400,0.001300,-0.001400,0,0.282,,,0,0.03180,0.00250,-0.00240,0,Msini,1.760000,,,0,0.450000,0.040000,-0.040000,0,G3 IV,1.09,,,0,5.600,1.280,-1.320,0,24.0125000,0.0204000,-0.0203000
HD 134060 c,0,1291.56460000,48.03330000,-44.21970000,0,2.392800,0.092900,-0.095100,0,0.527,,,0,0.09220,0.01390,-0.01330,0,Msini,0.780000,,,0,0.110000,0.130000,-0.070000,0,G3 IV,1.09,,,0,5.600,1.280,-1.320,0,24.0125000,0.0204000,-0.0203000
HIP 70849 b,0,17337.50000000,15512.50000000,-15512.50000000,0,20.250000,15.750000,-15.750000,0,1.120,,,0,9.00000,6.00000,-6.00000,0,Msini,8.050000,,,0,0.715000,0.245000,-0.245000,0,K7 V,0.63,0.03,-0.03,0,3.000,2.000,-2.000,0,24.0572000,0.0247500,-0.0247500
HD 199509 b,0,99.62167000,0.14198000,-0.09430000,0,0.426000,0.018000,-0.019000,0,0.663,,,0,0.13600,0.01200,-0.01600,0,Msini,0.579000,,,0,0.373000,0.090000,-0.087000,0,G3V,1.04,0.14,-0.14,0,1.600,,,0,24.3056000,0.0204000,-0.0204000
HD 156668 b,0,4.64550000,0.00110000,-0.00110000,0,0.050000,0.000700,-0.000700,0,0.167,,,0,0.01300,0.00200,-0.00200,0,Msini,3.490000,,,0,0.000000,,,0,K2,0.77,0.02,-0.02,0,8.600,4.800,-4.800,0,24.3323000,0.0165000,-0.0166000
HD 156668 c,0,811.30000000,5.20000000,-5.30000000,0,1.570000,0.017000,-0.017000,0,0.550,,,0,0.09910,0.00790,-0.00770,0,Msini,0.737000,,,0,0.089000,0.084000,-0.061000,0,K2,0.79,0.02,-0.02,0,8.600,4.800,-4.800,0,24.3323000,0.0165000,-0.0166000
HD 42618 b,0,149.61000000,0.37000000,-0.34000000,0,0.554000,0.011000,-0.011000,0,0.347,,,0,0.04531,0.00787,-0.00755,0,Msini,1.340000,,,0,0.190000,0.150000,-0.120000,0,G4 V,1.01,0.06,-0.06,0,3.720,2.800,-2.840,0,24.3358000,0.0249000,-0.0247000
WD 1856+534 b,0,1.40794050,0.00000110,-0.00000110,0,0.020400,0.001200,-0.001200,0,0.928,0.089,-0.089,0,13.80000,,,0,Mass,21.400000,,,0,0.000000,,,0,,0.52,0.06,-0.06,0,7.930,2.070,-2.080,0,24.7359000,0.0435000,-0.0433000
HD 16417 b,0,17.24000000,0.01000000,-0.01000000,0,0.140000,0.010000,-0.010000,0,0.446,,,0,0.06960,0.00630,-0.00630,0,Msini,0.972000,,,0,0.200000,0.090000,-0.090000,0,G1 V,1.20,,,0,7.000,1.000,-2.000,0,25.3936000,0.0353000,-0.0352000
HD 96700 b,0,8.12450000,0.00060000,-0.00060000,0,0.077700,0.001300,-0.001300,0,0.261,,,0,0.02800,0.00126,-0.00126,0,Msini,1.940000,,,0,0.138000,,,1,G0 V,0.89,0.01,-0.01,0,8.600,0.700,-0.700,0,25.4111000,0.0284000,-0.0283000
HD 96700 c,0,19.88000000,0.01000000,-0.01000000,0,0.141000,0.002000,-0.002000,0,0.151,,,0,0.01101,0.00126,-0.00126,0,Msini,3.980000,,,0,0.293000,,,1,G0 V,0.89,0.01,-0.01,0,8.600,0.700,-0.700,0,25.4111000,0.0284000,-0.0283000
HD 96700 d,0,103.50000000,0.10000000,-0.10000000,0,0.424000,0.007000,-0.007000,0,0.322,,,0,0.03996,0.00315,-0.00315,0,Msini,1.480000,,,0,0.270000,0.080000,-0.080000,0,G0 V,0.89,0.01,-0.01,0,8.600,0.700,-0.700,0,25.4111000,0.0284000,-0.0283000
HIP 57274 b,0,8.13520000,0.00400000,-0.00400000,0,0.070000,0.000000,0.000000,0,0.214,,,0,0.02000,0.01000,-0.01000,0,Msini,2.530000,,,0,0.190000,0.100000,-0.100000,0,K4 V,0.29,0.30,-0.30,0,7.870,5.000,-5.000,0,25.8618000,0.0337000,-0.0335000
HIP 57274 c,0,32.03000000,0.02000000,-0.02000000,0,0.178000,,,0,1.270,,,0,0.40902,0.00944,-0.00944,0,Msini,0.249000,,,0,0.050000,0.020000,-0.020000,0,K4 V,0.73,0.05,-0.05,0,7.870,5.000,-5.000,0,25.8618000,0.0337000,-0.0335000
HIP 57274 d,0,431.70000000,8.50000000,-8.50000000,0,1.010000,,,0,1.270,,,0,0.52670,0.03000,-0.03000,0,Msini,0.321000,,,0,0.270000,0.050000,-0.050000,0,K4 V,0.73,0.05,-0.05,0,7.870,5.000,-5.000,0,25.8618000,0.0337000,-0.0335000
HD 60532 b,0,201.90000000,0.30000000,-0.30000000,0,0.770000,0.020000,-0.020000,0,1.230,,,0,1.06000,0.08000,-0.08000,0,Msini,0.704000,,,0,0.260000,0.020000,-0.020000,0,F6 IV,1.50,0.09,-0.09,0,2.800,0.100,-0.600,0,25.9716000,0.1577000,-0.1558000
HD 60532 c,0,600.10000000,2.40000000,-2.40000000,0,1.600000,0.040000,-0.040000,0,1.180,,,0,2.51000,0.16000,-0.16000,0,Msini,1.860000,,,0,0.030000,0.020000,-0.020000,0,F6 IV,1.50,0.09,-0.09,0,2.800,0.100,-0.600,0,25.9716000,0.1577000,-0.1558000
HD 128356 b,0,298.20000000,1.60000000,-1.60000000,0,0.870000,0.030000,-0.030000,0,1.240,,,0,0.89000,0.07000,-0.07000,0,Msini,0.579000,,,0,0.570000,0.080000,-0.080000,0,K3 V,0.65,0.05,-0.05,0,10.000,5.000,-5.000,0,26.1548000,0.0446000,-0.0445000
HD 30562 b,0,1157.00000000,27.00000000,-27.00000000,0,2.340000,0.060000,-0.060000,0,1.210,,,0,1.47000,0.45000,-0.18000,0,Mass,1.020000,,,0,0.760000,0.050000,-0.050000,0,G2 IV,1.12,0.07,-0.07,0,3.600,0.500,-0.500,0,26.1597000,0.0564000,-0.0563000
HD 134987 b,0,258.17999000,0.07000000,-0.07000000,0,0.810000,0.020000,-0.020000,0,1.210,,,0,1.61000,0.07000,-0.07000,0,Msini,1.140000,,,0,0.230000,0.000000,0.000000,0,G5 V,1.10,0.07,-0.07,0,8.400,1.600,-1.400,0,26.1804000,0.0516000,-0.0515000
HD 134987 c,0,5000.00000000,400.00000000,-400.00000000,0,5.800000,0.500000,-0.500000,0,1.240,,,0,0.82000,0.03000,-0.03000,0,Msini,0.532000,,,0,0.120000,0.020000,-0.020000,0,G5 V,1.10,0.07,-0.04,0,8.400,1.600,-1.400,0,26.1804000,0.0516000,-0.0515000
HD 142 A d,0,108.45299000,0.09021000,-0.08819000,0,0.474000,0.021000,-0.023000,0,0.971,,,0,0.26000,0.03200,-0.03600,0,Msini,0.351000,,,0,0.130000,0.103000,-0.085000,0,F7V,1.21,0.17,-0.17,0,3.120,0.400,-0.560,0,26.1853000,0.0449000,-0.0446000
HD 142 b,0,351.43394000,0.37460000,-0.37770000,0,1.039000,0.046000,-0.051000,0,1.220,,,0,1.24900,0.12000,-0.13000,0,Msini,0.848000,,,0,0.158000,0.033000,-0.030000,0,G1 IV,1.21,0.17,-0.17,0,3.120,0.400,-0.560,0,26.1853000,0.0449000,-0.0446000
HD 142 c,0,10159.64279000,380.84010000,-321.75084000,0,9.811000,0.515000,-0.520000,0,1.110,,,0,10.90100,1.27800,-0.93700,0,Mass,9.990000,,,0,0.277000,0.026000,-0.027000,0,F7V,1.21,0.17,-0.17,0,3.120,0.400,-0.560,0,26.1853000,0.0449000,-0.0446000
HD 39194 b,0,5.63680000,0.00040000,-0.00040000,0,0.056000,0.001000,-0.001000,0,0.163,,,0,0.01259,0.00094,-0.00094,0,Msini,3.590000,,,0,0.207000,,,1,K0 V,0.67,0.04,-0.04,0,10.000,3.000,-3.000,0,26.4131000,0.0265000,-0.0265000
HD 39194 c,0,14.03000000,0.00300000,-0.00300000,0,0.103000,0.002000,-0.002000,0,0.213,,,0,0.01982,0.00157,-0.00157,0,Msini,2.540000,,,0,0.154000,,,1,K0 V,0.67,0.04,-0.04,0,10.000,3.000,-3.000,0,26.4131000,0.0265000,-0.0265000
HD 39194 d,0,33.91000000,0.03000000,-0.03000000,0,0.185000,0.003300,-0.003300,0,0.163,,,0,0.01259,0.00189,-0.00189,0,Msini,3.590000,,,0,0.333000,,,1,K0 V,0.67,0.04,-0.04,0,10.000,3.000,-3.000,0,26.4131000,0.0265000,-0.0265000
LP 791-18 b,0,0.94799810,0.00000210,-0.00000210,0,0.009780,0.000120,-0.000120,0,0.108,0.005,-0.005,0,0.00609,,,0,M-R relationship,5.990000,,,0,0.000000,,,0,M(6.1 +/- 0.7) V,0.14,0.01,-0.01,0,0.500,,,-1,26.4927000,0.0640000,-0.0638000
LP 791-18 c,0,4.98990930,0.00000740,-0.00000720,0,0.029610,0.000350,-0.000360,0,0.218,0.009,-0.009,0,0.02234,0.00220,-0.00220,0,Mass,2.690000,,,0,0.000080,0.000040,-0.000040,0,M(6.1 +/- 0.7) V,0.14,0.01,-0.01,0,0.500,,,-1,26.4927000,0.0640000,-0.0638000
LP 791-18 d,0,2.75343600,0.00001300,-0.00001300,0,0.019920,0.000240,-0.000240,0,0.092,0.004,-0.004,0,0.00283,0.00157,-0.00126,0,Mass,4.500000,,,0,0.001500,0.000140,-0.000140,0,M(6.1 +/- 0.7) V,0.14,0.01,-0.01,0,0.500,,,-1,26.4927000,0.0640000,-0.0638000
HD 216437 b,0,1334.28000000,13.07000000,-13.36000000,0,2.497000,0.036000,-0.037000,0,1.160,,,0,3.88000,0.73000,-0.73000,0,Mass,3.080000,,,0,0.317000,0.028000,-0.027000,0,G1 V,1.17,0.05,-0.05,0,4.750,1.059,-1.059,0,26.6902000,0.0322000,-0.0321000
AF Lep b,0,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,1.170,,,0,3.20000,0.70000,-0.60000,0,Mass,2.490000,,,0,0.240000,0.270000,-0.150000,0,F8 V,1.20,0.06,-0.06,0,0.024,0.003,-0.003,0,26.8564000,0.0189000,-0.0188000
HD 181433 b,0,9.37430000,0.00190000,-0.00190000,0,0.080000,0.000000,0.000000,0,0.214,,,0,0.02000,0.00000,0.00000,0,Msini,2.530000,,,0,0.400000,0.060000,-0.060000,0,K3 IV,0.63,0.07,-0.07,0,6.700,1.800,-1.800,0,26.8762000,0.0225000,-0.0225000
HD 181433 c,0,962.00000000,15.00000000,-15.00000000,0,1.760000,,,0,1.260,,,0,0.64000,,,0,Msini,0.398000,,,0,0.280000,0.020000,-0.020000,0,K3 IV,0.78,,,0,6.700,1.800,-1.800,0,26.8762000,0.0225000,-0.0225000
HD 181433 d,0,2172.00000000,158.00000000,-158.00000000,0,3.000000,,,0,1.270,,,0,0.54000,,,0,Msini,0.328000,,,0,0.480000,0.050000,-0.050000,0,K3 IV,0.78,,,0,6.700,1.800,-1.800,0,26.8762000,0.0225000,-0.0225000
BD-11 4672 b,0,1634.00000000,13.00000000,-14.00000000,0,2.360000,0.040000,-0.040000,0,1.250,,,0,0.65000,0.05000,-0.06000,0,Msini,0.405000,,,0,0.050000,0.050000,-0.030000,0,K7 V,0.65,0.03,-0.03,0,7.400,4.500,-4.900,0,27.1665000,0.0346000,-0.0346000
BD-11 4672 c,0,74.20000000,0.06000000,-0.08000000,0,0.300000,0.010000,-0.010000,0,0.360,,,0,0.04836,0.00934,-0.00884,0,Msini,1.280000,,,0,0.400000,0.130000,-0.150000,0,K7V,0.65,0.03,-0.03,0,7.400,4.500,-4.900,0,27.1665000,0.0346000,-0.0346000
TOI-776 b,0,8.24661000,0.00005000,-0.00004000,0,0.065200,0.001500,-0.001500,0,0.165,0.012,-0.012,0,0.01259,0.00283,-0.00283,0,Mass,3.400000,1.100000,-0.900000,0,0.060000,0.030000,-0.020000,0,M1 V,0.54,0.03,-0.03,0,7.800,3.900,-6.300,0,27.1701000,0.0320500,-0.0320500
TOI-776 c,0,15.66530000,0.00040000,-0.00030000,0,0.100000,0.002400,-0.002400,0,0.180,0.012,-0.012,0,0.01668,0.00566,-0.00566,0,Mass,3.500000,1.400000,-1.300000,0,0.040000,0.020000,-0.010000,0,M1 V,0.54,0.03,-0.03,0,7.800,3.900,-6.300,0,27.1701000,0.0320500,-0.0320500
HD 179949 b,0,3.09251400,0.00003200,-0.00003200,0,0.044300,0.002600,-0.002600,0,1.240,,,0,0.91600,0.07600,-0.07600,0,Msini,0.596000,,,0,0.022000,0.015000,-0.015000,0,F8 V,1.21,,,0,1.000,0.000,-1.000,1,27.4573000,0.0578000,-0.0577000
TOI-836 b,0,3.81673000,0.00001000,-0.00001000,0,0.042200,0.000930,-0.000930,0,0.152,0.006,-0.006,0,0.01425,0.00289,-0.00271,0,Mass,5.020000,0.360000,-0.440000,0,0.053000,0.042000,-0.042000,0,K V,0.68,0.05,-0.04,0,5.400,6.300,-5.000,0,27.5024000,0.0294000,-0.0293000
TOI-836 c,0,8.59545000,0.00001000,-0.00001000,0,0.075000,0.001600,-0.001600,0,0.231,0.008,-0.008,0,0.03020,0.00850,-0.00787,0,Mass,3.060000,0.480000,-0.540000,0,0.078000,0.056000,-0.056000,0,K V,0.68,0.05,-0.04,0,5.400,6.300,-5.000,0,27.5024000,0.0294000,-0.0293000
HD 155918 b,0,1.87567000,0.00004000,-0.00004000,0,0.030000,0.001000,-0.001000,0,0.239,,,0,0.02400,0.00300,-0.00400,0,Msini,2.200000,,,0,0.194000,0.197000,-0.129000,0,G2V,1.03,0.13,-0.13,0,12.300,,,0,27.5610000,0.0227000,-0.0226000
HD 155918 c,0,17202.19446000,2100.79072000,-1950.03472000,0,13.183000,1.170000,-1.179000,0,1.140,,,0,5.90900,0.65300,-0.76600,0,Mass,4.920000,,,0,0.071000,0.051000,-0.053000,0,G2V,1.03,0.13,-0.13,0,12.300,,,0,27.5610000,0.0227000,-0.0226000
HD 82943 b,0,441.47000000,0.35000000,-0.35000000,0,1.183060,0.000620,-0.000620,0,1.200,,,0,1.68100,0.02800,-0.02800,0,Mass,1.190000,,,0,0.162000,0.036000,-0.036000,0,G2/3V,1.08,0.12,-0.15,0,2.350,0.330,-0.330,0,27.5902000,0.0291000,-0.0290000
HD 82943 c,0,220.07800000,0.05100000,-0.05100000,0,0.743450,0.000120,-0.000120,0,1.200,,,0,1.95900,0.04700,-0.04700,0,Mass,1.420000,,,0,0.366300,0.009700,-0.009700,0,G2/3V,1.08,0.12,-0.15,0,2.350,0.330,-0.330,0,27.5902000,0.0291000,-0.0290000
HD 176986 b,0,6.48980000,0.00086000,-0.00086000,0,0.062960,0.000130,-0.000130,0,0.202,,,0,0.01806,0.00208,-0.00208,0,Msini,2.730000,,,0,0.066000,0.066000,-0.066000,0,K2.5 V,0.79,0.02,-0.02,0,4.300,4.000,-4.000,0,27.7843000,0.0483000,-0.0481000
HD 176986 c,0,16.81910000,0.00440000,-0.00440000,0,0.118780,0.000250,-0.000250,0,0.266,,,0,0.02888,0.00305,-0.00305,0,Msini,1.910000,,,0,0.111000,0.080000,-0.080000,0,K2.5 V,0.79,0.02,-0.02,0,4.300,4.000,-4.000,0,27.7843000,0.0483000,-0.0481000
HD 114386 b,0,937.70001000,16.00000000,-16.00000000,0,1.730000,0.030000,-0.030000,0,1.220,,,0,1.14000,0.13000,-0.13000,0,Msini,0.774000,,,0,0.230000,0.030000,-0.030000,0,K3V,0.60,0.09,-0.09,0,1.000,10.000,-1.000,1,27.9243000,0.0404000,-0.0404000
HD 125595 b,0,9.67370000,0.00390000,-0.00390000,0,0.080000,0.000000,0.000000,0,0.214,,,0,0.02000,0.01000,-0.01000,0,Msini,2.530000,,,0,0.000000,,,0,K4 V,0.29,0.25,-0.25,0,3.530,3.590,-3.590,0,28.1989000,0.0611000,-0.0609000
HD 13808 b,0,14.18150000,0.00150000,-0.00150000,0,0.105190,0.000930,-0.001100,0,0.299,,,0,0.03524,0.00378,-0.00208,0,Msini,1.640000,,,0,0.071000,0.027000,-0.047000,0,K2 V,0.77,0.02,-0.02,0,7.200,4.800,-4.800,0,28.2305000,0.0257000,-0.0258000
HD 13808 c,0,53.75300000,0.05000000,-0.08200000,0,0.255400,0.002800,-0.002300,0,0.279,,,0,0.03134,0.00566,-0.00302,0,Msini,1.780000,,,0,0.156000,0.050000,-0.061000,0,K2 V,0.77,0.02,-0.02,0,7.200,4.800,-4.800,0,28.2305000,0.0257000,-0.0258000
HD 164595 b,0,40.00000000,0.24000000,-0.24000000,0,0.230000,,,0,0.371,,,0,0.05078,0.00856,-0.00856,0,Msini,1.230000,,,0,0.088000,0.120000,-0.066000,0,G2 V,0.99,0.03,-0.03,0,7.120,1.960,-2.080,0,28.2540000,0.0208000,-0.0207000
HD 150706 b,0,5894.00000000,5584.00000000,-1498.00000000,0,6.700000,4.000000,-1.400000,0,1.180,,,0,2.43000,0.48000,-0.38000,0,Mass,1.800000,,,0,0.380000,0.280000,-0.320000,0,G0 V,1.17,0.12,-0.12,0,3.000,2.000,-2.000,0,28.2697000,0.0229000,-0.0228000
HD 207897 b,0,16.20215900,0.00008500,-0.00008300,0,0.116300,0.001700,-0.001500,0,0.223,0.007,-0.007,0,0.04531,0.00503,-0.00503,0,Mass,5.050000,0.770000,-0.690000,0,0.047000,0.057000,-0.033000,0,K0 V,0.80,0.04,-0.03,0,7.100,4.500,-4.500,0,28.2938000,0.0312000,-0.0312000
HD 93083 b,0,143.58000000,0.60000000,-0.60000000,0,0.477000,,,0,1.200,,,0,0.37000,,,0,Msini,0.269000,,,0,0.140000,0.030000,-0.030000,0,K3 V,0.70,0.04,-0.04,0,1.000,10.000,-1.000,1,28.5159000,0.0397000,-0.0397000
HD 204941 b,0,1733.00000000,74.00000000,-74.00000000,0,2.550000,0.080000,-0.080000,0,0.903,,,0,0.23000,0.03000,-0.03000,0,Msini,0.390000,,,0,0.370000,0.080000,-0.080000,0,K1/2V,0.58,0.08,-0.08,0,6.670,0.770,-0.770,0,28.7165000,0.0612000,-0.0609000
HD 218566 b,0,225.70000000,0.40000000,-0.40000000,0,0.690000,0.010000,-0.010000,0,0.832,,,0,0.20000,0.06000,-0.06000,0,Msini,0.431000,,,0,0.300000,0.100000,-0.100000,0,K3V,0.76,0.32,-0.32,0,8.500,,,0,28.8274000,0.0429000,-0.0427000
HD 111232 b,0,1169.13202000,0.61380000,-0.39663000,0,2.148000,0.088000,-0.097000,0,1.120,,,0,7.96500,1.12800,-0.47900,0,Mass,6.950000,,,0,0.214000,0.005000,-0.003000,0,G8 V,0.96,0.12,-0.12,0,5.200,,,0,28.9571000,0.0362000,-0.0361000
HD 111232 c,0,26472.44623000,5155.42268000,-4507.69327000,0,17.250000,2.158000,-2.151000,0,1.080,,,0,18.06300,4.20900,-1.61200,0,Mass,17.400000,,,0,0.558000,0.027000,-0.028000,0,G8 V,0.96,0.12,-0.12,0,13.000,,,-1,28.9571000,0.0362000,-0.0361000
HD 75289 b,0,3.50927000,0.00006400,-0.00006400,0,0.050000,0.000000,0.000000,0,1.270,,,0,0.49000,0.03000,-0.03000,0,Msini,0.299000,,,0,0.030000,0.030000,-0.030000,0,G0,1.29,0.10,-0.10,0,5.600,,,0,29.1158000,0.0240000,-0.0240000
HD 219077 b,0,5478.68861000,48.63475000,-38.25330000,0,5.935000,0.249000,-0.265000,0,1.110,,,0,9.62000,1.00100,-0.73300,0,Mass,8.600000,,,0,0.768000,0.002000,-0.002000,0,G8 V+,0.92,0.12,-0.12,0,8.900,0.300,-0.300,0,29.1864000,0.0372000,-0.0372000
HD 70642 b,0,2124.54000000,14.65000000,-13.51000000,0,3.318000,0.022000,-0.021000,0,1.160,,,0,3.90000,0.29000,-0.27000,0,Mass,3.100000,,,0,0.175000,0.044000,-0.044000,0,G6 V,1.08,0.02,-0.02,0,0.919,0.733,-0.733,0,29.2760000,0.0276000,-0.0275000
HD 102195 b,0,4.11377000,0.00056000,-0.00056000,0,0.050000,0.000000,0.000000,0,1.270,,,0,0.41000,0.02000,-0.02000,0,Msini,0.250000,,,0,0.000000,,,0,K0 V,0.76,0.04,-0.04,0,2.400,1.800,-1.800,0,29.3386000,0.0482000,-0.0480000
